       Time_s           01           02           03           04           05
   9.6000E-07   8.0000E+01   3.0000E+02   1.5336E+04   3.2424E+00   6.4867E+04
   9.6500E-07   8.0000E+01   3.0000E+02   1.5357E+04   3.2641E+00   6.5302E+04
   9.7000E-07   8.0000E+01   3.0000E+02   1.5357E+04   3.2833E+00   6.5687E+04
   9.7500E-07   8.0000E+01   3.0000E+02   1.5357E+04   3.3032E+00   6.6085E+04
   9.8000E-07   8.0000E+01   3.0000E+02   1.5357E+04   3.3236E+00   6.6492E+04
   9.8500E-07   8.0000E+01   3.0000E+02   1.5357E+04   3.3442E+00   6.6905E+04
   9.9000E-07   8.0000E+01   3.0000E+02   1.5357E+04   3.3650E+00   6.7322E+04
   9.9500E-07   8.0000E+01   3.0000E+02   1.5357E+04   3.3861E+00   6.7743E+04
   1.0000E-06   8.0000E+01   3.0000E+02   1.5357E+04   3.4072E+00   6.8166E+04
   1.0050E-06   8.0000E+01   3.0000E+02   1.5357E+04   3.4285E+00   6.8592E+04
   1.0100E-06   8.0000E+01   3.0000E+02   1.5379E+04   3.4514E+00   6.9049E+04
   1.0150E-06   8.0000E+01   3.0000E+02   1.5379E+04   3.4716E+00   6.9455E+04
   1.0200E-06   8.0000E+01   3.0000E+02   1.5379E+04   3.4926E+00   6.9875E+04
   1.0250E-06   8.0000E+01   3.0000E+02   1.5379E+04   3.5140E+00   7.0304E+04
   1.0300E-06   8.0000E+01   3.0000E+02   1.5379E+04   3.5358E+00   7.0739E+04
   1.0350E-06   8.0000E+01   3.0000E+02   1.5379E+04   3.5577E+00   7.1178E+04
   1.0400E-06   8.0000E+01   3.0000E+02   1.5379E+04   3.5799E+00   7.1622E+04
   1.0450E-06   8.0000E+01   3.0000E+02   1.5379E+04   3.6022E+00   7.2068E+04
   1.0500E-06   8.0000E+01   3.0000E+02   1.5379E+04   3.6246E+00   7.2516E+04
   1.0550E-06   8.0000E+01   3.0000E+02   1.5401E+04   3.6477E+00   7.2979E+04
   1.0600E-06   8.0000E+01   3.0000E+02   1.5401E+04   3.6695E+00   7.3415E+04
   1.0650E-06   8.0000E+01   3.0000E+02   1.5401E+04   3.6919E+00   7.3863E+04
   1.0700E-06   8.0000E+01   3.0000E+02   1.5401E+04   3.7146E+00   7.4318E+04
   1.0750E-06   8.0000E+01   3.0000E+02   1.5401E+04   3.7376E+00   7.4777E+04
   1.0800E-06   8.0000E+01   3.0000E+02   1.5401E+04   3.7607E+00   7.5241E+04
   1.0850E-06   8.0000E+01   3.0000E+02   1.5401E+04   3.7841E+00   7.5708E+04
   1.0900E-06   8.0000E+01   3.0000E+02   1.5401E+04   3.8075E+00   7.6178E+04
   1.0950E-06   8.0000E+01   3.0000E+02   1.5422E+04   3.8318E+00   7.6663E+04
   1.1000E-06   8.0000E+01   3.0000E+02   1.5422E+04   3.8546E+00   7.7120E+04
   1.1050E-06   8.0000E+01   3.0000E+02   1.5422E+04   3.8780E+00   7.7588E+04
   1.1100E-06   8.0000E+01   3.0000E+02   1.5422E+04   3.9018E+00   7.8064E+04
   1.1150E-06   8.0000E+01   3.0000E+02   1.5422E+04   3.9259E+00   7.8546E+04
   1.1200E-06   8.0000E+01   3.0000E+02   1.5422E+04   3.9501E+00   7.9032E+04
   1.1250E-06   8.0000E+01   3.0000E+02   1.5422E+04   3.9746E+00   7.9521E+04
   1.1300E-06   8.0000E+01   3.0000E+02   1.5444E+04   4.0005E+00   8.0040E+04
   1.1350E-06   8.0000E+01   3.0000E+02   1.5444E+04   4.0239E+00   8.0509E+04
   1.1400E-06   8.0000E+01   3.0000E+02   1.5444E+04   4.0481E+00   8.0993E+04
   1.1450E-06   8.0000E+01   3.0000E+02   1.5444E+04   4.0728E+00   8.1487E+04
   1.1500E-06   8.0000E+01   3.0000E+02   1.5444E+04   4.0978E+00   8.1987E+04
   1.1550E-06   8.0000E+01   3.0000E+02   1.5444E+04   4.1230E+00   8.2492E+04
   1.1600E-06   8.0000E+01   3.0000E+02   1.5444E+04   4.1484E+00   8.3001E+04
   1.1650E-06   8.0000E+01   3.0000E+02   1.5444E+04   4.1740E+00   8.3513E+04
   1.1700E-06   8.0000E+01   3.0000E+02   1.5466E+04   4.2001E+00   8.4036E+04
   1.1750E-06   8.0000E+01   3.0000E+02   1.5466E+04   4.2250E+00   8.4534E+04
   1.1800E-06   8.0000E+01   3.0000E+02   1.5466E+04   4.2505E+00   8.5045E+04
   1.1850E-06   8.0000E+01   3.0000E+02   1.5466E+04   4.2765E+00   8.5564E+04
   1.1900E-06   8.0000E+01   3.0000E+02   1.5466E+04   4.3027E+00   8.6089E+04
   1.1950E-06   8.0000E+01   3.0000E+02   1.5466E+04   4.3291E+00   8.6618E+04
   1.2000E-06   8.0000E+01   3.0000E+02   1.5466E+04   4.3557E+00   8.7150E+04
   1.2050E-06   8.0000E+01   3.0000E+02   1.5487E+04   4.3829E+00   8.7694E+04
   1.2100E-06   8.0000E+01   3.0000E+02   1.5487E+04   4.4088E+00   8.8213E+04
   1.2150E-06   8.0000E+01   3.0000E+02   1.5487E+04   4.4354E+00   8.8745E+04
   1.2200E-06   8.0000E+01   3.0000E+02   1.5487E+04   4.4624E+00   8.9286E+04
   1.2250E-06   8.0000E+01   3.0000E+02   1.5487E+04   4.4897E+00   8.9832E+04
